Mesec,Anglija,Avstralija,Avstrija,Ceska,Finska,Francija,Grcija,Irska,Italija,Kanada,Nemcija,Nizozemska,Norveska,Nova Zelandija,Portugalska,Rusija,Slovaska,Slovenija,Spanija,Svedska,Svica,Turcija,Ukrajina,Zdruzene drzave Amerike
2018-06,25,20,13,0,0,12,8,9,13,27,10,13,0,8,0,0,0,0,8,0,17,0,0,49
2018-07,27,12,0,0,0,25,11,11,12,34,12,20,0,6,0,0,0,0,12,0,25,0,0,45
2018-08,33,13,0,0,0,17,8,13,9,33,13,13,0,6,0,0,0,0,8,0,17,0,0,37
2018-09,17,14,9,0,0,21,0,5,10,11,9,8,0,4,0,0,0,0,16,0,7,0,0,28
2018-10,12,16,9,0,0,20,0,4,4,11,3,8,0,4,0,0,0,0,6,0,0,0,0,23
2018-11,5,14,0,0,0,4,0,2,4,5,6,14,0,10,0,0,0,0,6,0,6,0,0,17
2018-12,15,18,0,0,0,4,8,3,0,7,7,10,0,4,0,0,0,0,6,0,0,0,0,22
2019-01,9,19,0,0,0,16,0,8,4,10,6,9,0,16,0,0,0,0,4,0,6,0,0,24
2019-02,12,27,9,0,0,22,0,9,17,9,7,3,0,4,0,0,0,0,4,0,14,0,0,25
2019-03,19,19,8,0,0,16,0,3,6,24,7,16,0,4,0,0,0,0,8,0,9,0,0,31
2019-04,14,22,0,0,0,12,8,3,8,15,11,13,0,12,0,0,0,0,20,0,20,0,0,34
2019-05,21,11,8,0,0,20,0,5,6,28,12,11,0,4,0,0,0,0,15,0,6,0,0,33
2019-06,32,15,9,0,0,8,8,7,23,33,12,31,0,4,0,0,0,0,16,0,17,0,0,39
2019-07,35,8,0,0,0,32,0,10,16,34,10,11,0,4,0,0,0,0,16,0,21,0,0,41
2019-08,26,13,25,0,0,12,11,8,15,21,16,13,0,11,0,0,0,0,18,0,7,0,0,31
2019-09,11,17,0,0,0,4,0,4,12,9,12,9,0,7,0,0,0,0,4,0,10,0,0,21
2019-10,8,12,8,0,0,7,0,2,4,11,8,7,0,4,0,0,0,0,3,0,6,0,0,23
2019-11,8,14,0,0,0,4,11,5,4,3,4,15,0,7,0,0,0,0,7,0,12,0,0,18
2019-12,10,17,0,0,0,7,7,3,4,10,6,6,0,6,0,0,0,0,7,0,6,0,0,17
2020-01,15,17,11,0,0,7,0,6,0,13,9,11,0,4,0,0,0,0,3,0,12,0,0,23
2020-02,14,24,7,0,0,7,0,2,7,10,6,12,0,13,0,0,0,0,12,0,9,0,0,27
2020-03,9,18,6,0,0,13,0,2,5,10,5,8,0,6,0,0,0,0,3,0,11,0,0,23
2020-04,6,8,0,0,0,13,0,5,3,9,8,8,0,3,0,0,0,0,6,0,6,0,0,24
2020-05,18,24,0,0,0,19,0,3,3,29,11,8,0,4,0,0,0,0,6,0,8,0,0,54
2020-06,29,18,18,0,0,19,0,5,11,48,12,9,0,5,0,0,0,0,11,0,28,0,0,64
2020-07,42,16,7,0,0,11,14,5,15,41,16,20,0,3,0,0,0,0,12,0,9,0,0,63
2020-08,39,19,11,0,0,11,0,4,25,29,16,21,0,3,0,0,0,0,13,0,12,0,0,56
2020-09,18,18,7,0,0,7,0,0,11,20,8,6,0,3,0,0,0,0,4,0,6,0,0,42
2020-10,13,21,16,0,0,0,0,8,8,9,0,12,0,8,0,0,0,0,8,0,26,0,0,33
